bits;max_leaf;signal_bin;ms;
6;2;000010;0.016384ms
7;1;0001101;0.008576ms
8;2;00001011;0.012576ms
9;2;000001101;0.023584ms
10;2;0000011010;0.019136ms
11;1;00011101101;0.022976ms
12;2;000001010011;0.0504ms
13;1;0000011001010;0.085056ms
14;2;00000011001010;0.166816ms
15;2;000000110010100;0.3456ms
16;2;0000011001101011;0.729376ms
17;2;00001100100101011;1.536ms
18;2;000001011010001100;3.24605ms
19;2;0000111000100010010;8.15414ms
20;2;00000100011101001011;14.8132ms
21;2;000000101110100111001;33.9128ms
22;3;0000000011100100110101;65.4315ms
23;3;00000000111001010110010;131.15ms
24;3;000000001110010101100100;240.84ms
25;2;0001100011111101010110110;466.365ms
26;3;00000000110100110101001110;964.014ms
27;3;000000001100111010001011010;2000.08ms
28;2;0001100011111101010110110110;4144.82ms
29;3;00000000110110010111000110101;8581.7ms
